"Year","TCB_mean","TCB_median","TCB_sd","LME"
1950,42.7194299446442,30.6334934234619,25.4842226301379,"10"
1951,33.5048324738149,30.219409942627,11.2063101625266,"10"
1952,31.8803655344044,30.6626815795898,9.23196019528215,"10"
1953,31.5890370512549,28.5981788635254,13.0143690333327,"10"
1954,32.794770461144,29.9492073059082,13.1239026190826,"10"
1955,36.6646481190273,30.1226634979248,18.3246063124582,"10"
1956,35.4491976991141,32.6750221252441,8.56575606045939,"10"
1957,40.6271830676043,34.2004814147949,12.2685236604367,"10"
1958,32.884699966816,32.0947303771973,10.5141106767769,"10"
1959,43.8438277669288,37.4524192810059,15.2637245736748,"10"
1960,45.0195285613677,41.3539428710938,17.5486206785933,"10"
1961,35.9100766229647,32.9065208435059,8.26023581358248,"10"
1962,36.7188436883088,33.376277923584,10.7590514471656,"10"
1963,34.0487416010633,31.9283638000488,9.90227015068215,"10"
1964,39.4368955427263,33.1895713806152,12.5795614224908,"10"
1965,33.7463319899932,30.9852848052979,10.5561503712396,"10"
1966,40.5152167881299,35.7829551696777,9.90985065736748,"10"
1967,35.8101603518775,32.7815170288086,11.0812316037895,"10"
1968,41.0629337305726,34.8917350769043,18.4363474788849,"10"
1969,37.4775229117316,34.0258522033691,12.4840250863546,"10"
1970,37.5118688406826,33.9675407409668,9.62716171592455,"10"
1971,37.4662509750311,34.2934036254883,10.344900427181,"10"
1972,43.3449274948195,36.4216613769531,16.9377243775051,"10"
1973,50.4423705228234,41.8149032592773,21.3654803830449,"10"
1974,34.4134015272922,32.2330360412598,8.39233136471579,"10"
1975,32.4382195476986,31.5926952362061,8.20237043043391,"10"
1976,34.9814000025048,33.4595375061035,7.93976993421168,"10"
1977,44.8717017357534,35.966365814209,18.545455099231,"10"
1978,34.6772210457397,30.7445487976074,8.78471065263779,"10"
1979,39.0414502139918,33.2335929870605,15.6221628518801,"10"
1980,39.6974768006788,34.168155670166,16.9363024862953,"10"
1981,37.6473754898831,33.0862922668457,11.2854677031428,"10"
1982,50.452295245045,41.9207229614258,29.5498136796196,"10"
1983,43.5827345737231,34.7522926330566,20.4252193996115,"10"
1984,48.2625213769014,41.285327911377,21.6094058684241,"10"
1985,42.0357076698079,38.8315773010254,12.7461744237895,"10"
1986,48.4599371484699,44.0574531555176,15.1999903560289,"10"
1987,52.3179258549565,38.9900360107422,29.6879593249493,"10"
1988,47.1214298660534,39.179313659668,20.9954789768671,"10"
1989,36.4118254882626,33.7411460876465,12.4888457778828,"10"
1990,41.6899462642604,34.9699554443359,15.5942730532334,"10"
1991,54.1949776214564,43.2102279663086,26.2064616925712,"10"
1992,41.5128356774809,35.4741477966309,11.9447151644121,"10"
1993,45.7777941509643,42.6214179992676,11.7328447441387,"10"
1994,39.9855036972726,35.1423492431641,10.2962465508914,"10"
1995,37.3505535479056,34.4912528991699,10.6090270398001,"10"
1996,43.0095605535042,35.2890853881836,18.8355265943142,"10"
1997,37.6136698182301,32.9946746826172,11.7650505492876,"10"
1998,41.1287717164298,34.8917350769043,17.32486623823,"10"
1999,40.4038172132075,34.5307693481445,15.8462772096672,"10"
2000,51.4288838817828,35.3570137023926,30.9305559240927,"10"
2001,54.2402101271982,34.443660736084,36.0646549525799,"10"
2002,50.9211167998686,34.443660736084,36.1444771370514,"10"
2003,46.4294448606349,33.0862922668457,26.2614360954796,"10"
2004,41.0264675312502,28.7642917633057,29.9485197890326,"10"
2005,50.7685429561733,33.5397605895996,35.6727159110339,"10"
2006,34.4674109857481,31.2771301269531,11.2767692122778,"10"
2007,30.8941859534379,29.4220886230469,10.0180388508983,"10"
2008,32.742184745563,30.460090637207,8.41995055164423,"10"
2009,35.3901272429177,31.9283638000488,11.2692636208706,"10"
2010,37.3029255802885,33.684684753418,14.6387005413065,"10"
2011,36.9233689607332,28.5893821716309,22.6618748767369,"10"
2012,48.4520285480477,30.1928215026855,41.2724534879796,"10"
2013,45.0982042901714,30.1550273895264,33.6155397513525,"10"
2014,32.2653337619019,31.6827201843262,9.09390163253381,"10"
1950,499.743313833244,498.044189453125,116.627551239147,"14"
1951,497.622736026971,501.916412353516,112.770324172343,"14"
1952,504.617749356174,510.792877197266,114.67939447144,"14"
1953,502.563981766941,498.851593017578,114.675644616239,"14"
1954,506.527280350812,505.538452148438,108.745883261721,"14"
1955,495.084958880975,493.847534179688,113.470636588153,"14"
1956,499.726050311704,492.121704101562,112.410441415776,"14"
1957,495.403564329973,490.407501220703,113.621425041612,"14"
1958,499.234439891484,497.199462890625,111.798702058906,"14"
1959,502.814714787168,505.353454589844,108.235745209827,"14"
1960,505.522907175998,504.787048339844,114.868694624005,"14"
1961,509.950662693556,501.962890625,116.053168973663,"14"
1962,503.114338927447,500.326934814453,112.771658883604,"14"
1963,507.051155916463,513.556640625,111.871236058777,"14"
1964,498.600216141942,500.646057128906,111.186549754236,"14"
1965,490.775675939907,495.877746582031,115.315883619818,"14"
1966,502.666735900858,509.258575439453,116.222283852986,"14"
1967,501.731592055027,498.044189453125,113.596270367817,"14"
1968,506.631634816368,504.739898681641,115.345594810889,"14"
1969,503.717311634635,505.556610107422,113.19390324358,"14"
1970,506.64245614157,502.077667236328,113.633797231562,"14"
