"Year","TCB_mean","TCB_median","TCB_sd","LME","LME_name"
1980,11.8369413308786,10.8382425308228,4.93321863428425,"10","HOTS"
1981,11.4186489213616,10.3693008422852,4.56798689447019,"10","HOTS"
1982,11.8134291632144,10.5840635299683,4.71907573782176,"10","HOTS"
1983,12.8352399352365,11.5408754348755,5.39443640672796,"10","HOTS"
1984,12.7441109773299,11.4791488647461,5.51752020971313,"10","HOTS"
1985,13.0847931680374,11.5302581787109,5.69582526935462,"10","HOTS"
1986,12.5993860915706,11.4082717895508,4.94053062286502,"10","HOTS"
1987,13.8237171199011,12.5865726470947,5.96427829166181,"10","HOTS"
1988,13.0625346013487,11.7273101806641,5.46535285402787,"10","HOTS"
1989,12.2125456931203,11.0427827835083,4.78407221747864,"10","HOTS"
1990,11.8220594263784,10.7476434707642,4.76243708243088,"10","HOTS"
1991,13.2074275908765,11.6707496643066,5.73813685296061,"10","HOTS"
1992,13.678781365339,12.3346252441406,5.9253476238295,"10","HOTS"
1993,12.6531125885434,11.249195098877,5.25745876307231,"10","HOTS"
1994,12.100358000822,11.2195701599121,4.77715930980916,"10","HOTS"
1995,11.9101194675359,10.8633937835693,4.74631063889129,"10","HOTS"
1996,11.8085418808848,10.7688102722168,4.70533627853702,"10","HOTS"
1997,11.9004689585608,10.7616958618164,4.83348354945397,"10","HOTS"
1998,11.7060386911413,10.6325359344482,4.75365768358046,"10","HOTS"
1999,11.6281101861241,10.8068628311157,4.63844960373551,"10","HOTS"
2000,11.8723923576604,10.8807592391968,4.84240989345367,"10","HOTS"
2001,13.2268599329635,11.7840671539307,6.04830009733695,"10","HOTS"
2002,13.0674879156732,11.4317750930786,5.75877981678875,"10","HOTS"
2003,12.8814336882896,11.6192817687988,5.72098079193578,"10","HOTS"
2004,12.8674445034923,11.4582462310791,5.83340488440841,"10","HOTS"
2005,12.8769809083526,11.60191822052,6.23450264560237,"10","HOTS"
2006,12.3488476985839,10.5417051315308,5.66051421315957,"10","HOTS"
2007,11.2665246415563,10.5326404571533,4.46395297476776,"10","HOTS"
2008,10.8246441802186,9.9833927154541,4.17550455800098,"10","HOTS"
2009,10.6106216201692,9.84119987487793,4.00773880968174,"10","HOTS"
2010,11.1906691895393,10.4761743545532,4.39395591316189,"10","HOTS"
2011,11.3071780344781,10.2221488952637,4.66784097497397,"10","HOTS"
2012,11.4221567546335,10.4963655471802,4.94637611380836,"10","HOTS"
2013,12.3670564450381,10.8021183013916,5.95325448617059,"10","HOTS"
2014,12.0831431569111,10.8560247421265,5.18497593711834,"10","HOTS"
2015,11.3840586459726,10.119873046875,4.48029414295363,"10","HOTS"
1950,287.606555037024,290.164367675781,80.3447485086762,"14","Patagonian Shelf"
1951,247.831824404252,246.028396606445,63.1586753531865,"14","Patagonian Shelf"
1952,248.074002088665,249.312896728516,63.6669383169311,"14","Patagonian Shelf"
1953,247.88867770045,249.482788085938,64.1620023966134,"14","Patagonian Shelf"
1954,245.663340548321,247.8974609375,63.536616233781,"14","Patagonian Shelf"
1955,247.447039594452,248.939590454102,63.426110359087,"14","Patagonian Shelf"
1956,245.055262811609,248.649353027344,61.8496090319252,"14","Patagonian Shelf"
1957,244.646325462686,246.238891601562,63.3151823890316,"14","Patagonian Shelf"
1958,246.347999746153,247.608856201172,64.7970547163758,"14","Patagonian Shelf"
1959,243.309915143199,242.208068847656,63.9242916529721,"14","Patagonian Shelf"
1960,243.067181129096,242.516479492188,63.0866280652793,"14","Patagonian Shelf"
1961,242.994585018135,243.974670410156,63.4870602697541,"14","Patagonian Shelf"
1962,244.629747781316,244.285400390625,64.6228597898161,"14","Patagonian Shelf"
1963,244.227319453729,244.495574951172,64.3418051438476,"14","Patagonian Shelf"
1964,241.736242504927,243.10725402832,62.5157983923599,"14","Patagonian Shelf"
1965,244.297155442839,244.932098388672,63.2055360779278,"14","Patagonian Shelf"
1966,246.762892009137,246.660949707031,64.681829270346,"14","Patagonian Shelf"
1967,243.085881805557,242.150390625,62.4456201547184,"14","Patagonian Shelf"
1968,242.773553555843,242.881927490234,62.2340881195756,"14","Patagonian Shelf"
1969,245.356292266432,246.284057617188,63.3365568642587,"14","Patagonian Shelf"
1970,245.506352165246,244.788101196289,63.2045526752429,"14","Patagonian Shelf"
1971,244.175028571223,243.651290893555,63.4072480859156,"14","Patagonian Shelf"
1972,241.541558258652,242.287445068359,62.8750832733019,"14","Patagonian Shelf"
1973,241.570879557922,242.950546264648,61.6689585770396,"14","Patagonian Shelf"
1974,242.220404507431,242.721267700195,61.2309596555609,"14","Patagonian Shelf"
1975,242.173633337614,242.140914916992,62.2693401024005,"14","Patagonian Shelf"
1976,241.47195384912,241.639694213867,61.8392144954627,"14","Patagonian Shelf"
1977,242.553864676887,242.12174987793,62.759154063503,"14","Patagonian Shelf"
1978,242.153089985673,242.260681152344,63.9159086309142,"14","Patagonian Shelf"
1979,243.946364849457,242.617858886719,64.7215150280858,"14","Patagonian Shelf"
1980,242.609799350157,242.798095703125,64.2209727665011,"14","Patagonian Shelf"
1981,240.549071456656,240.012161254883,63.2717961447961,"14","Patagonian Shelf"
1982,240.169347829858,239.506134033203,63.8436980304186,"14","Patagonian Shelf"
1983,238.004183367399,237.418670654297,62.4771129736193,"14","Patagonian Shelf"
1984,240.187389409949,237.952102661133,63.2265678553134,"14","Patagonian Shelf"
1985,242.194990949501,240.574981689453,64.6071932121258,"14","Patagonian Shelf"
1986,242.132576904662,241.821395874023,63.7192658887729,"14","Patagonian Shelf"
1987,242.625273038607,241.375747680664,63.2675498470422,"14","Patagonian Shelf"
1988,241.903593552235,239.614013671875,62.5894940506676,"14","Patagonian Shelf"
1989,242.960475118002,242.660873413086,62.8550120631684,"14","Patagonian Shelf"
1990,241.596980802538,242.006927490234,63.4541017367021,"14","Patagonian Shelf"
1991,240.59914214502,240.567855834961,63.1886790890858,"14","Patagonian Shelf"
1992,239.764716335181,241.54020690918,62.4575724314655,"14","Patagonian Shelf"
1993,239.480384479398,238.777038574219,61.9197490121664,"14","Patagonian Shelf"
1994,237.144941002962,237.35237121582,61.4520868769306,"14","Patagonian Shelf"
1995,240.374973284453,241.674087524414,62.6850033744759,"14","Patagonian Shelf"
1996,239.572519125744,240.377243041992,61.9518483383481,"14","Patagonian Shelf"
1997,238.743015009794,238.223007202148,62.0978210361915,"14","Patagonian Shelf"
1998,241.924911663425,241.976867675781,63.7011650096428,"14","Patagonian Shelf"
1999,242.653173659406,241.120834350586,67.3000132783886,"14","Patagonian Shelf"
2000,240.857270788921,236.02961730957,66.2159048384761,"14","Patagonian Shelf"
2001,238.417006675235,239.296493530273,63.1456389273764,"14","Patagonian Shelf"
2002,239.81803336954,240.008163452148,63.5516992757103,"14","Patagonian Shelf"
2003,236.154765858897,237.129638671875,62.7132434777407,"14","Patagonian Shelf"
2004,236.126626987381,235.550979614258,61.7907589440405,"14","Patagonian Shelf"
2005,233.630632779809,235.922821044922,61.080279410548,"14","Patagonian Shelf"
2006,238.245823583428,239.532791137695,61.9733654609862,"14","Patagonian Shelf"
2007,237.468916471491,239.015640258789,62.542058779768,"14","Patagonian Shelf"
2008,238.207000435309,239.108489990234,62.7009638030244,"14","Patagonian Shelf"
2009,240.173071879774,239.461456298828,63.6412203788666,"14","Patagonian Shelf"
2010,237.050714152892,237.777252197266,62.5736477314896,"14","Patagonian Shelf"
2011,238.726982983442,239.231201171875,62.0368718354285,"14","Patagonian Shelf"
2012,237.036242457138,237.736145019531,60.5420360813228,"14","Patagonian Shelf"
2013,237.706591543461,238.626251220703,61.9094415931232,"14","Patagonian Shelf"
2014,239.5817739533,238.187652587891,62.1095291524688,"14","Patagonian Shelf"
2015,223.490491421867,220.496795654297,56.9960365180932,"14","Patagonian Shelf"
1950,68.4383026113634,70.8735656738281,24.7615649103641,"21","Norwegian Shelf"
1951,112.173886873257,117.421829223633,31.6435300715179,"21","Norwegian Shelf"
1952,113.594354942282,117.924873352051,32.3855113005378,"21","Norwegian Shelf"
1953,116.87431672266,121.255302429199,28.21006761842,"21","Norwegian Shelf"
1954,119.320924572146,124.420906066895,31.6342309787668,"21","Norwegian Shelf"
1955,120.708291470709,127.288238525391,31.8506895731296,"21","Norwegian Shelf"
1956,118.547381875035,121.387191772461,28.6736729095497,"21","Norwegian Shelf"
1957,123.28333823285,127.051559448242,31.1509645906898,"21","Norwegian Shelf"
1958,112.814797564267,115.196769714355,30.754842317589,"21","Norwegian Shelf"
