"","LME","LME_name","Year","TCB_mean","TCB_median","TCB_sd"
"1",10,"Insular Pacific-Hawaiian",1950,1.53673600676347,1.20989875883939,0.733226735554348
"2",10,"Insular Pacific-Hawaiian",1951,1.40742587131545,1.14869573674721,0.719617022168139
"3",10,"Insular Pacific-Hawaiian",1952,1.41887562801377,1.06601895770648,0.790789017202424
"4",10,"Insular Pacific-Hawaiian",1953,1.25862252287529,1.0018582766426,0.618699352693616
"5",10,"Insular Pacific-Hawaiian",1954,1.34763264001085,0.974556466718139,0.80738274275676
"6",10,"Insular Pacific-Hawaiian",1955,1.1765065231165,0.887681662982329,0.637142744681119
"7",10,"Insular Pacific-Hawaiian",1956,1.35867886209032,1.10093435323056,0.598389285001451
"8",10,"Insular Pacific-Hawaiian",1957,1.3265255101304,1.12857979170328,0.488438960247885
"9",10,"Insular Pacific-Hawaiian",1958,1.1883558643678,1.08186201106559,0.375473051649927
"10",10,"Insular Pacific-Hawaiian",1959,1.22336543410179,1.09427638567699,0.387772208264889
"11",10,"Insular Pacific-Hawaiian",1960,1.59429166034298,1.40874822102113,0.52173913865622
"12",10,"Insular Pacific-Hawaiian",1961,1.53241786187262,1.29457086304296,0.602069580237793
"13",10,"Insular Pacific-Hawaiian",1962,1.39446901016056,1.22794997202068,0.545988079023094
"14",10,"Insular Pacific-Hawaiian",1963,1.41654973876232,1.29432205977638,0.511281627049867
"15",10,"Insular Pacific-Hawaiian",1964,1.43728474819463,1.33310471358094,0.492123404170614
"16",10,"Insular Pacific-Hawaiian",1965,1.33969351335301,1.16476799962326,0.460342932799948
"17",10,"Insular Pacific-Hawaiian",1966,1.31182201663003,1.11704237172809,0.470578720434925
"18",10,"Insular Pacific-Hawaiian",1967,1.27267434207046,1.11284740743502,0.441588786575761
"19",10,"Insular Pacific-Hawaiian",1968,1.3055472526626,1.11709925663289,0.473386919287869
"20",10,"Insular Pacific-Hawaiian",1969,1.42213932339508,1.17193093375483,0.591830308071473
"21",10,"Insular Pacific-Hawaiian",1970,1.3860344297041,1.19417947096654,0.502598230955606
"22",10,"Insular Pacific-Hawaiian",1971,1.25773669769098,1.15438377244191,0.417579993908267
"23",10,"Insular Pacific-Hawaiian",1972,1.4345031891713,1.29467888882252,0.433721574549899
"24",10,"Insular Pacific-Hawaiian",1973,1.71467361528797,1.50243057259655,0.558244552177565
"25",10,"Insular Pacific-Hawaiian",1974,1.49402620088566,1.3665503050887,0.505951813863041
